,n_cells_by_counts,mean_counts,pct_dropout_by_counts
CENPS,165,0.031570109151973134,97.22921914357683
CORT,36,0.007388748950461797,99.39546599496222
DFFA,544,0.12510495382031905,90.86481947942904
RP5-1113E3.3,0,0.0,100.0
PEX14,291,0.06616288832913518,95.11335012594458
RP4-734G22.4,0,0.0,100.0
CASZ1,564,0.21729638958858102,90.52896725440806
RP4-734G22.3,1,0.00016792611251049538,99.98320738874895
C1orf127,8,0.001343408900083963,99.8656591099916
TARDBP,1086,0.32460117548278755,81.7632241813602
MASP2,0,0.0,100.0
SRM,1208,0.40083963056255245,79.71452560873216
EXOSC10,605,0.15163727959697734,89.84047019311502
RP4-635E18.7,3,0.0006717044500419815,99.94962216624685
EXOSC10-AS1,13,0.00218303946263644,99.78169605373635
MTOR,403,0.08900083963056256,93.23257766582704
MTOR-AS1,1,0.00016792611251049538,99.98320738874895
ANGPTL7,50,0.01964735516372796,99.16036943744753
UBIAD1,355,0.09924433249370278,94.03862300587743
RP4-796F18.3,3,0.0006717044500419815,99.94962216624685
DISP3,2,0.00033585222502099076,99.9664147774979
RP11-149P14.2,0,0.0,100.0
LINC01647,0,0.0,100.0
RP3-330O12.5,1,0.00016792611251049538,99.98320738874895
FBXO2,153,0.031570109151973134,97.43073047858942
FBXO44,241,0.048026868178001676,95.95298068849706
FBXO6,230,0.04567590260285474,96.1376994122586
MAD2L2,578,0.12879932829554996,90.29387069689336
DRAXIN,10,0.0016792611251049538,99.8320738874895
AGTRAP,827,0.22720403022670024,86.11251049538204
C1orf167,68,0.011754827875734676,98.85810243492863
C1orf167-AS1,0,0.0,100.0
MTHFR,399,0.08513853904282116,93.29974811083123
CLCN6,185,0.035432409739714524,96.89336691855584
NPPA,5,0.0010075566750629723,99.91603694374476
NPPB,0,0.0,100.0
RP5-934G17.7,39,0.00654911838790932,99.34508816120908
KIAA2013,659,0.16842989084802687,88.93366918555834
PLOD1,744,0.1790092359361881,87.50629722921914
RP5-1077B9.6,0,0.0,100.0
MFN2,870,0.2584382871536524,85.3904282115869
MIIP,351,0.07204030226700252,94.10579345088162
TNFRSF8,22,0.0041981528127623844,99.6305625524769
RP11-426M1.3,0,0.0,100.0
TNFRSF1B,688,0.14676742233417298,88.44668345927792
VPS13D,694,0.181696053736356,88.34592779177162
LINC02766,0,0.0,100.0
DHRS3,891,0.2112510495382032,85.03778337531487
RP11-474O21.5,6,0.0010075566750629723,99.8992443324937
AADACL4,2,0.00033585222502099076,99.9664147774979
AADACL3,48,0.02283795130142737,99.19395465994963
C1orf158,13,0.0025188916876574307,99.78169605373635
PRAMEF12,0,0.0,100.0
PRAMEF1,0,0.0,100.0
LINC01784,0,0.0,100.0
PRAMEF11,0,0.0,100.0
HNRNPCL1,0,0.0,100.0
PRAMEF2,0,0.0,100.0
PRAMEF4,0,0.0,100.0
PRAMEF10,0,0.0,100.0
PRAMEF7,0,0.0,100.0
PRAMEF6,0,0.0,100.0
PRAMEF27,0,0.0,100.0
HNRNPCL3,0,0.0,100.0
PRAMEF25,0,0.0,100.0
HNRNPCL2,0,0.0,100.0
RP13-221M14.2,0,0.0,100.0
PRAMEF26,0,0.0,100.0
HNRNPCL4,0,0.0,100.0
PRAMEF9,0,0.0,100.0
PRAMEF13,0,0.0,100.0
PRAMEF18,0,0.0,100.0
PRAMEF5,0,0.0,100.0
PRAMEF8,0,0.0,100.0
PRAMEF33,0,0.0,100.0
PRAMEF15,0,0.0,100.0
RP11-219C24.10,0,0.0,100.0
PRAMEF14,0,0.0,100.0
PRAMEF19,0,0.0,100.0
PRAMEF17,0,0.0,100.0
PRAMEF20,0,0.0,100.0
LRRC38,3,0.0005037783375314861,99.94962216624685
RP4-597A16.2,0,0.0,100.0
PDPN,785,0.19714525608732159,86.81780016792611
CTA-520D8.2,0,0.0,100.0
PRDM2,992,0.23056255247691015,83.34172963895887
KAZN,377,0.0871536523929471,93.66918555835433
RP11-344F13.1,0,0.0,100.0
KAZN-AS1,0,0.0,100.0
RP5-864I18.1,0,0.0,100.0
TMEM51-AS1,17,0.0028547439126784214,99.71452560873216
TMEM51,314,0.07019311502938708,94.72712006717045
C1orf195,0,0.0,100.0
FHAD1,27,0.004701931150293871,99.54659949622166
FHAD1-AS1,1,0.00016792611251049538,99.98320738874895
RP3-467K16.7,0,0.0,100.0
RP3-467K16.4,0,0.0,100.0
EFHD2,1233,0.35768261964735515,79.29471032745592
CTRC,6,0.0010075566750629723,99.8992443324937
CELA2A,0,0.0,100.0
CELA2B,0,0.0,100.0
CASP9,87,0.015785054575986567,98.5390428211587
DNAJC16,257,0.049034424853064654,95.68429890848027
RP4-680D5.8,2,0.00033585222502099076,99.9664147774979
AGMAT,23,0.0041981528127623844,99.61376994122585
RP4-680D5.2,1,0.00016792611251049538,99.98320738874895
DDI2,493,0.10780856423173804,91.72124265323258
RSC1A1,0,0.0,100.0
RP4-680D5.9,1,0.00016792611251049538,99.98320738874895
PLEKHM2,771,0.18606213266162888,87.0528967254408
RP11-288I21.1,0,0.0,100.0
SLC25A34,51,0.009739714525608732,99.14357682619648
SLC25A34-AS1,2,0.00033585222502099076,99.9664147774979
TMEM82,0,0.0,100.0
FBLIM1,555,0.14676742233417298,90.6801007556675
UQCRHL,48,0.008228379513014274,99.19395465994963
FLJ37453,54,0.009403862300587741,99.09319899244332
SPEN,834,0.19109991603694373,85.99496221662469
ZBTB17,288,0.05692695214105793,95.16372795969772
SRARP,0,0.0,100.0
RP11-5P18.5,0,0.0,100.0
HSPB7,63,0.012426532325776658,98.94206549118388
CLCNKA,4,0.0006717044500419815,99.9328295549958
CLCNKB,4,0.0006717044500419815,99.9328295549958
FAM131C,28,0.004869857262804366,99.52980688497061
EPHA2,302,0.08816120906801007,94.92863140218304
RP11-276H7.2,1,0.00016792611251049538,99.98320738874895
RP11-276H7.3,1,0.00016792611251049538,99.98320738874895
ARHGEF19-AS1,0,0.0,100.0
ARHGEF19,303,0.07103274559193955,94.911838790932
RP4-733M16.8,42,0.007556675062972292,99.29471032745592
CPLANE2,26,0.005037783375314861,99.56339210747271
FBXO42,424,0.09773299748110831,92.879932829555
SZRD1,1272,0.3588581024349286,78.639798488665
SPATA21,3,0.0005037783375314861,99.94962216624685
NECAP2,682,0.16272040302267002,88.54743912678421
LINC01772,26,0.004701931150293871,99.56339210747271
RP4-798A10.7,21,0.0041981528127623844,99.64735516372795
RP4-798A10.4,0,0.0,100.0
LINC01783,21,0.003526448362720403,99.64735516372795
NBPF1,230,0.0434928631402183,96.1376994122586
RP5-1182A14.5,0,0.0,100.0
RP1-163M9.8,0,0.0,100.0
RP1-163M9.7,0,0.0,100.0
RP5-1182A14.7,0,0.0,100.0
CROCC,246,0.04769101595298069,95.86901763224182
RP11-108M9.1,0,0.0,100.0
RP11-108M9.3,0,0.0,100.0
RP11-108M9.4,373,0.07926112510495383,93.73635600335852
RP11-108M9.6,7,0.001343408900083963,99.88245172124265
MFAP2,1239,0.5022670025188917,79.19395465994963
RP1-37C10.7,0,0.0,100.0
RP1-37C10.3,0,0.0,100.0
ATP13A2,391,0.08900083963056256,93.43408900083962
RP1-37C10.8,0,0.0,100.0
SDHB,869,0.2475230898404702,85.40722082283794
PADI2,66,0.019311502938706968,98.89168765743072
LINC02783,1,0.00016792611251049538,99.98320738874895
